prefecture,region,population,area_km2,capital,established_year
北海道,北海道,5140000,83424,札幌市,1886
青森県,東北,1238000,9646,青森市,1871
岩手県,東北,1210000,15275,盛岡市,1871
宮城県,東北,2302000,7282,仙台市,1871
秋田県,東北,960000,11638,秋田市,1871
山形県,東北,1068000,9323,山形市,1871
福島県,東北,1833000,13784,福島市,1871
茨城県,関東,2867000,6097,水戸市,1871
栃木県,関東,1933000,6408,宇都宮市,1871
群馬県,関東,1939000,6362,前橋市,1871
埼玉県,関東,7344000,3798,さいたま市,1871
千葉県,関東,6284000,5158,千葉市,1873
東京都,関東,14048000,2194,新宿区,1943
神奈川県,関東,9240000,2416,横浜市,1871
新潟県,中部,2201000,12584,新潟市,1871
富山県,中部,1035000,4248,富山市,1871
石川県,中部,1132000,4186,金沢市,1871
福井県,中部,768000,4190,福井市,1871
山梨県,中部,810000,4465,甲府市,1871
長野県,中部,2048000,13562,長野市,1871
岐阜県,中部,1978000,10621,岐阜市,1871
静岡県,中部,3633000,7777,静岡市,1871
愛知県,中部,7543000,5173,名古屋市,1871
三重県,近畿,1770000,5774,津市,1872
滋賀県,近畿,1414000,4017,大津市,1872
京都府,近畿,2578000,4612,京都市,1868
大阪府,近畿,8839000,1905,大阪市,1868
兵庫県,近畿,5465000,8401,神戸市,1868
奈良県,近畿,1324000,3691,奈良市,1887
和歌山県,近畿,923000,4725,和歌山市,1871
鳥取県,中国,553000,3507,鳥取市,1881
島根県,中国,671000,6708,松江市,1881
岡山県,中国,1888000,7114,岡山市,1871
広島県,中国,2800000,8479,広島市,1871
山口県,中国,1342000,6113,山口市,1871
徳島県,四国,720000,4147,徳島市,1880
香川県,四国,950000,1877,高松市,1888
愛媛県,四国,1339000,5676,松山市,1873
高知県,四国,692000,7104,高知市,1880
福岡県,九州,5135000,4987,福岡市,1871
佐賀県,九州,814000,2441,佐賀市,1871
長崎県,九州,1312000,4132,長崎市,1871
熊本県,九州,1738000,7409,熊本市,1871
大分県,九州,1124000,6341,大分市,1871
宮崎県,九州,1069000,7735,宮崎市,1871
鹿児島県,九州,1588000,9187,鹿児島市,1871
沖縄県,九州,1468000,2281,那覇市,1972
